,진료년도,상병구분,시도,SIGUNGU_NM,SIGUNGU_CD,성별,연령군,환자수,입내원일수,요양급여비용총액
255,2023,ADHD,서울,성북구,11080,여,20~29세,316,2116,172830360
256,2023,ADHD,서울,성북구,11080,여,30~39세,94,701,58763970
257,2023,ADHD,서울,성북구,11080,여,40~49세,27,179,14168370
258,2023,ADHD,서울,성북구,11080,여,50~59세,11,59,3783760
259,2023,ADHD,서울,성북구,11080,여,60~69세,0,0,0
260,2023,ADHD,서울,성북구,11080,여,70~79세,0,0,0
261,2023,ADHD,서울,성북구,11080,여,80~89세,0,0,0
262,2023,ADHD,서울,성북구,11080,여,90~99세,0,0,0
263,2023,ADHD,서울,성북구,11080,여,100세 이상,0,0,0
264,2023,ADHD,서울,영등포구,11190,남,0~9세,342,2118,214167430
265,2023,ADHD,서울,영등포구,11190,남,10~19세,362,2336,225751100
266,2023,ADHD,서울,영등포구,11190,남,20~29세,359,2411,239799200
267,2023,ADHD,서울,영등포구,11190,남,30~39세,328,2364,247976660
268,2023,ADHD,서울,영등포구,11190,남,40~49세,82,571,56000870
269,2023,ADHD,서울,영등포구,11190,남,50~59세,19,156,14966520
270,2023,ADHD,서울,영등포구,11190,남,60~69세,0,0,0
271,2023,ADHD,서울,영등포구,11190,남,70~79세,0,0,0
272,2023,ADHD,서울,영등포구,11190,남,80~89세,0,0,0
273,2023,ADHD,서울,영등포구,11190,남,90~99세,0,0,0
274,2023,ADHD,서울,영등포구,11190,남,100세 이상,0,0,0
275,2023,ADHD,서울,영등포구,11190,여,0~9세,83,456,45926370
276,2023,ADHD,서울,영등포구,11190,여,10~19세,169,1104,111909510
277,2023,ADHD,서울,영등포구,11190,여,20~29세,452,3403,377855740
278,2023,ADHD,서울,영등포구,11190,여,30~39세,331,2545,261518490
279,2023,ADHD,서울,영등포구,11190,여,40~49세,79,488,48384730
280,2023,ADHD,서울,영등포구,11190,여,50~59세,14,60,7879030
281,2023,ADHD,서울,영등포구,11190,여,60~69세,0,0,0
282,2023,ADHD,서울,영등포구,11190,여,70~79세,0,0,0
283,2023,ADHD,서울,영등포구,11190,여,80~89세,0,0,0
284,2023,ADHD,서울,영등포구,11190,여,90~99세,0,0,0
285,2023,ADHD,서울,영등포구,11190,여,100세 이상,0,0,0
286,2023,ADHD,서울,용산구,11030,남,0~9세,74,548,71710450
287,2023,ADHD,서울,용산구,11030,남,10~19세,98,580,83523390
288,2023,ADHD,서울,용산구,11030,남,20~29세,132,838,78431430
289,2023,ADHD,서울,용산구,11030,남,30~39세,140,989,98391770
290,2023,ADHD,서울,용산구,11030,남,40~49세,61,400,43021240
291,2023,ADHD,서울,용산구,11030,남,50~59세,0,0,0
292,2023,ADHD,서울,용산구,11030,남,60~69세,0,0,0
293,2023,ADHD,서울,용산구,11030,남,70~79세,0,0,0
294,2023,ADHD,서울,용산구,11030,남,80~89세,0,0,0
295,2023,ADHD,서울,용산구,11030,남,90~99세,0,0,0
296,2023,ADHD,서울,용산구,11030,남,100세 이상,0,0,0
297,2023,ADHD,서울,용산구,11030,여,0~9세,18,76,8891820
298,2023,ADHD,서울,용산구,11030,여,10~19세,47,246,27828450
299,2023,ADHD,서울,용산구,11030,여,20~29세,266,1704,175183520
300,2023,ADHD,서울,용산구,11030,여,30~39세,176,1027,99193200
301,2023,ADHD,서울,용산구,11030,여,40~49세,27,167,16775280
302,2023,ADHD,서울,용산구,11030,여,50~59세,0,0,0
303,2023,ADHD,서울,용산구,11030,여,60~69세,0,0,0
304,2023,ADHD,서울,용산구,11030,여,70~79세,0,0,0
305,2023,ADHD,서울,용산구,11030,여,80~89세,0,0,0
306,2023,ADHD,서울,용산구,11030,여,90~99세,0,0,0
307,2023,ADHD,서울,용산구,11030,여,100세 이상,0,0,0
308,2023,ADHD,서울,은평구,11120,남,0~9세,319,2022,138056800
309,2023,ADHD,서울,은평구,11120,남,10~19세,447,3015,225783090
310,2023,ADHD,서울,은평구,11120,남,20~29세,288,1896,147828600
311,2023,ADHD,서울,은평구,11120,남,30~39세,177,1260,100170930
312,2023,ADHD,서울,은평구,11120,남,40~49세,43,301,20496270
313,2023,ADHD,서울,은평구,11120,남,50~59세,10,44,5082450
314,2023,ADHD,서울,은평구,11120,남,60~69세,0,0,0
315,2023,ADHD,서울,은평구,11120,남,70~79세,0,0,0
316,2023,ADHD,서울,은평구,11120,남,80~89세,0,0,0
317,2023,ADHD,서울,은평구,11120,남,90~99세,0,0,0
318,2023,ADHD,서울,은평구,11120,남,100세 이상,0,0,0
319,2023,ADHD,서울,은평구,11120,여,0~9세,93,529,38436050
320,2023,ADHD,서울,은평구,11120,여,10~19세,196,1271,109915690
321,2023,ADHD,서울,은평구,11120,여,20~29세,358,2560,186896240
322,2023,ADHD,서울,은평구,11120,여,30~39세,184,1324,90832730
323,2023,ADHD,서울,은평구,11120,여,40~49세,58,352,25127240
324,2023,ADHD,서울,은평구,11120,여,50~59세,20,117,7778590
325,2023,ADHD,서울,은평구,11120,여,60~69세,0,0,0
326,2023,ADHD,서울,은평구,11120,여,70~79세,0,0,0
327,2023,ADHD,서울,은평구,11120,여,80~89세,0,0,0
328,2023,ADHD,서울,은평구,11120,여,90~99세,0,0,0
329,2023,ADHD,서울,은평구,11120,여,100세 이상,0,0,0
330,2023,ADHD,서울,종로구,11010,남,0~9세,678,1993,171765090
331,2023,ADHD,서울,종로구,11010,남,10~19세,864,3485,453739480
332,2023,ADHD,서울,종로구,11010,남,20~29세,480,2850,291731940
333,2023,ADHD,서울,종로구,11010,남,30~39세,271,1699,200163110
334,2023,ADHD,서울,종로구,11010,남,40~49세,62,389,40017510
335,2023,ADHD,서울,종로구,11010,남,50~59세,21,122,10603870
336,2023,ADHD,서울,종로구,11010,남,60~69세,0,0,0
337,2023,ADHD,서울,종로구,11010,남,70~79세,0,0,0
338,2023,ADHD,서울,종로구,11010,남,80~89세,0,0,0
339,2023,ADHD,서울,종로구,11010,남,90~99세,0,0,0
